"first_name","last_name","hire_date"
"Naftali","Syang","1/28/86"
"Lijia","Birta","2/1/86"
"Uli","Ranum","2/26/86"
"Gay","Khamsi","5/27/86"
"Arne","Geffroy","9/7/86"
"Mrinalini","Muntz","4/28/86"
"Feipei","Ligten","4/29/86"
"Charlene","Fabrizio","2/13/86"
"Kazuyasu","Pileggi","1/16/86"
"Temple","Zastre","7/22/86"
"Guther","Huxford","11/20/86"
"Yinghua","Petersohn","9/25/86"
"Steve","Munoz","12/10/86"
"Mads","Ramalingam","8/1/86"
"Xuedong","Fujisaki","3/9/86"
"Beshir","Serre","12/8/86"
"Ottavia","Perl","7/1/86"
"Abdelwaheb","Basawa","10/28/86"
"Xuedong","Rossi","4/12/86"
"Shawna","Leuchs","9/8/86"
"Harngdar","Gire","2/11/86"
"Constantine","Hedayat","12/2/86"
"Barton","Jenevein","3/24/86"
"Clyde","Perly","9/10/86"
"Yunming","Papsdorf","12/29/86"
"Tsz","Suppi","3/8/86"
"Georgi","Osgood","10/26/86"
"Sandeepan","Sessa","6/22/86"
"Ramzi","Thiria","12/14/86"
"Demos","Bahi","10/5/86"
"Boriana","Lunn","8/6/86"
"Ziya","Cronau","9/14/86"
"Lalit","Pellegrinelli","8/29/86"
"Sedat","Kuhnemann","6/2/86"
"Shay","Ranon","10/6/86"
"Mansur","Weiland","7/19/86"
"Zhanqiu","Merkl","7/21/86"
"Samphel","Tchuente","6/23/86"
"Gao","Zizka","10/24/86"
"Masali","Dichev","2/2/86"
"Yurii","Tetzlaff","12/26/86"
"Adin","Kleiser","8/28/86"
"Conor","Hofting","7/3/86"
"Petter","Serra","7/5/86"
"Jamaludin","Remmele","6/14/86"
"Vasilii","Karunanithi","10/15/86"
"Boutros","Lorys","7/15/86"
"Jiakeng","Suermann","8/7/86"
"Petter","Thummel","9/16/86"
"Kwok","Puoti","8/27/86"
"Lihong","Munke","4/13/86"
"Khue","Ramsak","8/10/86"
"Udo","Tetzlaff","4/9/86"
"Christoph","Stavenow","4/12/86"
"Yuichiro","Lund","1/28/86"
"Danel","Danecki","5/4/86"
"Kenroku","Piazza","11/2/86"
"Lijia","Selvestrel","5/31/86"
"Bodo","Bergere","5/14/86"
"Shridhar","Krychniak","11/2/86"
"Maik","Sevcikova","4/12/86"
"Temple","Alpin","8/31/86"
"Arnould","Farrar","3/1/86"
"Arco","Granlund","11/22/86"
"Quingbo","Leijenhorst","2/17/86"
"Wojceich","Benveniste","6/23/86"
"Charlene","Steenbeek","7/19/86"
"Fumino","Biran","2/10/86"
"Youssef","Zeidenstein","10/26/86"
"Danae","Hebert","10/11/86"
"Teruyuki","Angelov","11/8/86"
"Maren","Parascandalo","7/6/86"
"JoAnne","Caine","10/15/86"
"Jayson","Zumaque","2/26/86"
"Hilary","Ghazalie","5/4/86"
"Pradeep","Genther","11/25/86"
"Woody","Guerreiro","10/9/86"
"Kensei","Gist","12/17/86"
"Zvonko","Boguraev","12/28/86"
"Yongmin","Kusakabe","1/26/86"
"Lihong","Zwicker","9/3/86"
"Dietrich","Farrow","2/16/86"
"Rosalyn","Picaronny","12/7/86"
"Jingling","Schaaf","6/29/86"
"Wojceich","Bugaenko","9/3/86"
"Gill","Liesche","2/27/86"
"Yoshimitsu","Sgarro","8/26/86"
"Toong","Mitchem","2/5/86"
"Hercules","Ghalwash","10/12/86"
"Keiichiro","Szilard","8/5/86"
"Kellyn","Brookman","3/25/86"
"Monique","Radwan","9/10/86"
"Souichi","Fasbender","12/11/86"
"Xiping","Sewelson","9/16/86"
"Gil","Teitelbaum","7/16/86"
"Jaideep","Whittlesey","9/30/86"
"Hilari","Fairtlough","11/11/86"
"Zejun","Massonet","10/20/86"
"Amstein","Kugler","9/2/86"
"Atreyi","Rousseau","4/13/86"
"Behnaam","Docker","2/25/86"
"Duangkaew","Baaz","12/17/86"
"Shigehito","Matzat","8/7/86"
"Giordano","Bultermann","6/1/86"
"Ute","Ferriere","12/1/86"
"Fuqing","Valette","3/10/86"
"Avishai","Brodie","5/10/86"
"Vishwani","Thorensen","7/19/86"
"Shugo","Reghbati","11/10/86"
"Roselyn","Rosin","2/16/86"
"Ayakannu","Krogh","8/2/86"
"Qunsheng","Hanratty","12/14/86"
"Sven","Veccia","3/7/86"
"Ennio","Eterovic","12/16/86"
"Sadegh","Katalagarianos","1/28/86"
"Neelam","Camurati","1/31/86"
"Mani","Bolsens","4/4/86"
"Ohad","Sridhar","8/5/86"
"Suzette","Schneeberger","11/23/86"
"Mizuhito","Heping","11/11/86"
"Paraskevi","Merlo","5/2/86"
"Arunachalam","Milicia","10/27/86"
"Nechama","Yeung","2/2/86"
"Alselm","Foote","5/1/86"
"Tsutomu","Baik","4/22/86"
"Leni","Osgood","8/5/86"
"Petter","Talmon","8/17/86"
"Mang","Basawa","2/10/86"
"Basem","Smailagic","11/9/86"
"Takahira","Kusalik","12/6/86"
"Berthier","Pietrzykowski","6/30/86"
"Oldrich","Rotem","3/6/86"
"Kerhong","Rothenberg","3/7/86"
"Deborah","Ferretti","12/17/86"
"Xiaobin","Kitsuregawa","6/30/86"
"Dekang","Prampolini","11/17/86"
"Maria","Taubenfeld","12/15/86"
"Mohan","Sadowski","7/30/86"
"Xinyu","Heusch","4/21/86"
"Ioana","Gecsei","3/11/86"
"Alejandra","Doering","2/24/86"
"Arup","Hemaspaandra","5/18/86"
"Leon","Ruther","2/17/86"
"Yuping","Hofman","9/3/86"
"Mani","Barreiro","12/25/86"
"Tonia","Jenevein","9/25/86"
"Kristin","Schlegelmilch","1/21/86"
"Maren","Hellwagner","5/8/86"
"Bodo","Schade","2/14/86"
"Eckart","Burnard","12/30/86"
"Stepehn","Luca","10/9/86"
"Fabrizio","Erol","2/28/86"
"Lokesh","Kulisch","4/22/86"
"Abdelkader","Welham","8/12/86"
"Khun","Kobara","1/11/86"
"Jackson","Lorch","12/5/86"
"Gal","Melski","10/12/86"
"Xuejun","Baig","5/30/86"
"Amalendu","Gronowski","12/26/86"
"Aamer","Belinskaya","12/13/86"
"Jaideep","Chinal","4/30/86"
"Kazuhira","Holburn","11/4/86"
"Masaki","Cyre","9/20/86"
"Kiyokazu","Copas","8/24/86"
"Theron","Aamodt","3/16/86"
"Takushi","Georg","2/13/86"
"Aiichiro","Poupard","5/30/86"
"Alassane","Conte","7/31/86"
"Jamaludin","Masamoto","1/26/86"
"Shahid","Tanemo","5/29/86"
"Oksana","Riesenhuber","6/5/86"
"Xuejun","Marrevee","9/3/86"
"Youngkon","Kugler","6/24/86"
"Mohan","Auyong","2/5/86"
"Jiafu","Gulak","5/13/86"
"Piyawadee","England","6/6/86"
"Genta","Baca","8/21/86"
"Gil","Roisin","10/15/86"
"Parke","Marquardt","4/29/86"
"Boguslaw","Wolniewicz","8/26/86"
"Jinpo","Pusterhofer","4/19/86"
"Junsik","Griswold","5/30/86"
"Oldrich","Holburn","5/31/86"
"Manu","Ellozy","11/18/86"
"Kankanahalli","Tokunaga","11/14/86"
"Leaf","Soicher","8/21/86"
"Tua","Kadhim","9/1/86"
"Bojan","Diderrich","4/16/86"
"Haldon","Schoegge","6/7/86"
"Radhakrishnan","Antonisse","9/12/86"
"Abdelaziz","Klyachko","1/20/86"
"Elvis","Kohling","2/25/86"
"Frederique","Toyoshima","5/3/86"
"Otilia","Ritzmann","6/22/86"
"Sumant","Rossi","3/27/86"
"Takahiro","Shinomoto","4/30/86"
"Olivera","Langford","2/19/86"
"Laurentiu","Halevi","6/17/86"
"Herb","Gewali","11/11/86"
"Renny","Zuberek","8/1/86"
"Taiji","Segond","6/23/86"
"Xinan","Yamaashi","1/29/86"
"Kaijung","Raney","10/16/86"
"Bader","Pellegrinelli","11/19/86"
"Reuven","Asmuth","12/20/86"
"Christoph","Gulik","2/17/86"
"Boaz","Belinskaya","3/16/86"
"Mayumi","Czap","1/16/86"
"Marla","Baar","6/16/86"
"Conrado","Deville","6/4/86"
"Giri","Basagni","11/14/86"
"Torsten","Lienhardt","8/19/86"
"Gila","Lamma","7/17/86"
"Christoper","Shackel","6/3/86"
"Mari","Waschkowski","5/5/86"
"Maris","Dratva","11/4/86"
"Wanqing","Vidal","4/28/86"
"Niclas","Buchter","3/29/86"
"Zhigen","Aseltine","1/23/86"
"Marit","McDermid","8/20/86"
"DAIDA","Bruckman","10/16/86"
"Augustine","Gomatam","7/23/86"
"Howell","Takkinen","6/2/86"
"Mari","Kambil","8/26/86"
"Hideo","Maquelin","4/19/86"
"Filipe","Muhlberg","9/23/86"
"Douadi","Schwaller","11/30/86"
"Taiji","Lorie","7/19/86"
"Abdulla","Gerlach","6/13/86"
"Yucel","Kowalchuk","5/29/86"
"Parto","Poupard","2/19/86"
"Kinh","Dengi","9/10/86"
"Christoph","Lovengreen","8/24/86"
"Weicheng","Parascandalo","6/2/86"
"Irene","Kolvik","11/9/86"
"Youjian","Chiola","12/12/86"
"Karsten","Geffroy","8/13/86"
"Stabislas","Luit","2/23/86"
"Pragnesh","Acton","11/4/86"
"Gennadi","Soicher","2/20/86"
"Paddy","Gien","3/14/86"
"Vishwani","Erdmenger","2/3/86"
"Zongyan","Jeansoulin","8/1/86"
"Elrique","Ravishankar","9/5/86"
"Guadalupe","Stavenow","3/30/86"
"Tsvetan","Stranks","5/20/86"
"Khue","Keohane","7/20/86"
"Tayeb","Grospietsch","11/30/86"
"Jingling","Kavanagh","4/17/86"
"Jordanka","Stentiford","5/5/86"
"Eishiro","Khalil","10/13/86"
"Ravishankar","Erez","6/22/86"
"Tzvetan","Zweizig","3/14/86"
"Heather","Hitomi","5/23/86"
"Howell","Kruskal","7/14/86"
"Serif","Adachi","2/17/86"
"Vugranam","Roohalamini","6/12/86"
"Goo","Wroclawski","12/14/86"
"Subir","Matzel","6/20/86"
"Olivera","Swiss","12/2/86"
"Demin","Byoun","3/7/86"
"Munir","Veldwijk","3/17/86"
"Freyja","Jiafu","3/23/86"
"Mahmut","Skafidas","3/16/86"
"KayLiang","Fargier","2/23/86"
"Billie","Macedo","10/3/86"
"Srinidhi","Vickson","6/7/86"
"Boutros","Ozeri","7/19/86"
"Miyeon","Ullian","10/19/86"
"Make","Schaad","10/8/86"
"Pranjal","Mukaidono","6/15/86"
"Jungsoon","Fadgyas","6/21/86"
"Amabile","Schaaf","8/28/86"
"Nevin","Fadgyas","2/18/86"
"Chuanyi","Schaad","9/25/86"
"Mingsen","Sidou","8/11/86"
"Khaled","Panwar","7/6/86"
"Satosi","Kakkad","10/21/86"
"Ebbe","Ermel","6/15/86"
"Adly","Pelc","1/11/86"
"Anyuan","Bierman","6/13/86"
"Aamod","Shumilov","9/18/86"
"Vasilis","Szilard","7/29/86"
"Flemming","Baba","2/12/86"
"Shigenori","Fadgyas","12/2/86"
"Bodh","Moehrke","1/11/86"
"Ingmar","Massonet","3/31/86"
"Freyja","Chinal","11/8/86"
"Genki","Kragelund","3/28/86"
"Niteen","Ruther","12/11/86"
"Vidya","Lambe","7/16/86"
"Debatosh","Botman","3/15/86"
"Kiam","Botman","11/17/86"
"Akemi","Salvesen","11/14/86"
"Takushi","Kalorkoti","6/21/86"
"Mitsuyuki","Jarecki","1/12/86"
"Anyuan","Cannane","2/2/86"
"Akemi","Fujisaki","12/16/86"
"Zita","Feinberg","4/21/86"
"Erez","Picaronny","12/22/86"
"Karlis","Merkl","5/5/86"
"Alejandro","Liesche","9/8/86"
"Lucien","Riesenhuber","9/4/86"
"Akhilish","Kamber","4/29/86"
"Jaideep","Koshiba","9/16/86"
"Valeri","Kossowski","3/4/86"
"Martina","Perfilyeva","1/12/86"
"Toong","Shinomoto","1/27/86"
"Boutros","Chiodo","8/10/86"
"Chrisa","Zeleznik","12/9/86"
"Kazuhisa","Underwood","5/29/86"
"Luerbio","Nilsson","11/17/86"
"Jiang","Angelov","12/12/86"
"Teiji","Chartres","4/4/86"
"Goetz","Anido","10/26/86"
"Tomokazu","Muhlberg","12/18/86"
"Ult","Eugenio","7/11/86"
"Mohd","Fujisawa","9/7/86"
"Martial","Molenaar","3/30/86"
"Masamitsu","Hiraishi","4/10/86"
"Conrado","Rettelbach","3/20/86"
"Thodoros","Luders","11/9/86"
"Tuval","Lamparter","11/6/86"
"Demin","Daescu","9/19/86"
"Ziva","Fiutem","1/28/86"
"Yagil","Apsitis","9/18/86"
"Khalil","Bolsens","8/4/86"
"Krisda","Thibadeau","3/8/86"
"Tomokazu","Yetim","7/6/86"
"Georgy","Bouloucos","10/16/86"
"Samphel","Uehara","9/29/86"
"Mansur","Riesenhuber","9/15/86"
"Reinhold","Perz","5/15/86"
"Flemming","Kavanagh","11/3/86"
"Serge","Chaudhury","1/4/86"
"Demin","Silva","4/27/86"
"Rasikan","Beetstra","3/5/86"
"Kamakshi","Chachaty","8/27/86"
"Yuguang","Marquardt","12/27/86"
"Heather","Ratzlaff","2/8/86"
"Yinghua","Baca","3/16/86"
"Kwee","Snedden","6/20/86"
"Masanao","Smeets","4/6/86"
"Juichirou","Marshall","2/22/86"
"Mooi","Casley","10/29/86"
"Denny","Ozeki","11/17/86"
"Chriss","Genther","8/25/86"
"Jiann","McFarlan","2/4/86"
"Gila","Schreiter","7/6/86"
"Rasiah","Bouloucos","2/16/86"
"Dung","Zongker","5/29/86"
"Karlis","Chimia","12/12/86"
"Elliott","Pluym","4/23/86"
"Elzbieta","Thiria","3/21/86"
"Zongyan","Linares","4/15/86"
"Moto","Christianini","5/3/86"
"Susanta","Avouris","7/16/86"
"Salvador","Berstel","2/5/86"
"Quingbo","Schurmann","8/31/86"
"Kwun","Figueira","5/27/86"
"Pranav","Chenney","1/16/86"
"Freyja","Oaver","10/21/86"
"Kiyotoshi","Klyachko","4/13/86"
"Douadi","Khalil","9/8/86"
"Bowen","Alvarado","10/30/86"
"Ipke","Daescu","11/18/86"
"Xiaobin","Crooks","5/17/86"
"Oscar","Masaki","7/26/86"
"Jordanka","Demizu","5/8/86"
"Zine","Radhakrishnan","11/19/86"
"Nathan","Haldar","6/11/86"
"Khoa","Maierhofer","8/14/86"
"Sushant","Reghbati","9/8/86"
"Pasqua","Borstler","4/11/86"
"Yoshinari","Pollacia","1/29/86"
"Remmert","Feldhoffer","4/1/86"
"Palash","Onuegbe","2/3/86"
"Shawna","Bardell","10/23/86"
"Pasqua","Marzano","9/5/86"
"Shaowei","Nicolson","7/19/86"
"Junichi","Trelles","12/5/86"
"Mamdouh","Ghandeharizadeh","1/8/86"
"Magy","Assaf","7/7/86"
"Woody","Yavatkar","10/14/86"
"Hidde","Akiyama","2/15/86"
"Berni","Zeleznik","8/23/86"
"Boaz","Giveon","10/19/86"
"Gino","Pashtan","8/3/86"
"Berhard","Tasistro","2/20/86"
"Xianlong","Knightly","5/9/86"
"Conor","Quaggetto","10/8/86"
"Atreye","Redmiles","1/21/86"
"Qunsheng","Birrer","5/13/86"
"Goh","Benaini","4/3/86"
"Giap","Krychniak","4/5/86"
"Bernd","Speek","12/20/86"
"Taiji","Hainaut","2/3/86"
"Lalit","Colorni","8/11/86"
"Zorica","Hiroyama","6/16/86"
"Girolamo","Streit","2/7/86"
"Hailing","Foote","4/21/86"
"Jaewoo","Ratnaker","6/2/86"
"Toshimori","Cronin","8/24/86"
"Frazer","Pellegrinelli","5/23/86"
"Dulce","Meszaros","4/25/86"
"Kerryn","Fargier","6/13/86"
"Aksel","Weiland","8/26/86"
"Frazer","Pleszkun","6/19/86"
"Valeska","Katalagarianos","3/8/86"
"Mohua","Marchesini","8/20/86"
"Susumu","Foote","5/21/86"
"Youjian","Ranta","7/4/86"
"Pranay","Perez","5/13/86"
"Sastry","Jonsson","5/1/86"
"Goetz","Hitomi","8/29/86"
"Kazunori","Pepe","9/11/86"
"Baziley","Motley","2/20/86"
"Gadiel","Krychniak","2/20/86"
"Goetz","Melichar","11/9/86"
"Ghassan","Sgarro","7/12/86"
"Danel","Laurillard","6/23/86"
"Ottavia","Ventosa","1/4/86"
"Gilbert","Trelles","9/22/86"
"Jeanne","Hettesheimer","2/16/86"
"Mayuri","Bernick","12/17/86"
"Ronnie","Rathonyi","2/19/86"
"Khalil","Percebois","3/13/86"
"Leandro","Bondorf","9/5/86"
"Tetsurou","Zschoche","10/27/86"
"Xiadong","Huxford","1/11/86"
"Chriss","Baez","9/22/86"
"Weiye","Bierman","6/19/86"
"Yifei","Merli","6/7/86"
"Siddarth","Baca","11/5/86"
"Stevo","Riexinger","9/28/86"
"Richard","Borovoy","1/23/86"
"Guangming","Takkinen","5/24/86"
"Shuky","Gente","9/16/86"
"Shao","Ramsak","4/7/86"
"Fumiyo","DuCasse","10/1/86"
"Eirik","Paludetto","6/9/86"
"Olivera","Landherr","6/23/86"
"Irena","Rikino","3/8/86"
"Premal","Hanratty","9/8/86"
"Stafford","Panangaden","12/21/86"
"Garnik","Litzkow","10/1/86"
"Moon","Schwabacher","5/19/86"
"Sakthirel","Ramsak","9/4/86"
"Maia","Levasseur","12/12/86"
"Weiwu","Selenyi","2/17/86"
"Yurii","Ranst","11/1/86"
"Teiji","Wuwongse","7/18/86"
"Hsiangchu","Biros","8/2/86"
"Toshimori","Straney","3/10/86"
"Renee","Basart","10/30/86"
"Arvin","Rajaraman","6/23/86"
"Gao","Poehlman","11/26/86"
"Niclas","Dalphin","1/25/86"
"Cordelia","Schwabacher","6/19/86"
"Hitomi","Herber","2/2/86"
"Koldo","Detkin","6/28/86"
"Olivera","Shumilov","3/19/86"
"Elgin","Setia","4/12/86"
"Doowon","Setlzner","10/22/86"
"Marin","Heijenga","10/25/86"
"Shahar","Murtha","6/6/86"
"Anyuan","Hoppenstand","3/24/86"
"Bader","Chorvat","3/26/86"
"Abdulla","Ponthieu","10/10/86"
"Zeydy","Ladret","7/19/86"
"Alain","Linnainmaa","9/17/86"
"Premsyl","Casperson","11/5/86"
"Chiradeep","Ciolek","12/10/86"
"Gou","Gammage","2/19/86"
"Olivera","Thibadeau","12/23/86"
"Tse","Kalsbeek","2/25/86"
"Miomir","Mansanne","8/22/86"
"Subbu","Begiun","7/21/86"
"Parke","Deville","12/10/86"
"Elzbieta","Thorensen","6/20/86"
"Clyde","Swift","3/14/86"
"Subir","Suessmith","1/5/86"
"Sanjiv","Uehara","9/13/86"
"Eldridge","Papadias","8/19/86"
"Szabolcs","Usdin","12/17/86"
"Mack","Erdi","9/29/86"
"Shirish","Osgood","6/10/86"
"Francesca","Basawa","2/5/86"
"Spyrose","Parhami","10/1/86"
"Stamatina","Valtorta","11/25/86"
"Mrinalini","Hennebert","2/8/86"
"Odinaldo","Giaccio","10/9/86"
"Tetsushi","Melski","11/8/86"
"Evgueni","Marshall","11/18/86"
"Bodh","Hiltgen","6/16/86"
"Lobel","Zuberek","8/4/86"
"Pranjal","Worfolk","9/9/86"
"Satoru","Porotnikoff","10/20/86"
"Xiong","Peot","4/29/86"
"Trygve","Birdsall","9/10/86"
"Sangeeta","Rosar","10/12/86"
"Morrie","Smeets","1/6/86"
"Kwangsub","Shimshoni","12/13/86"
"Lorien","Kaelbling","4/18/86"
"Vitaly","Ulupinar","1/17/86"
"Gopalakrishnan","Baba","12/15/86"
"Macha","Chartres","2/24/86"
"Gaetan","Farrar","7/12/86"
"Zhiwei","Selvestrel","10/13/86"
"Patricia","Ullian","4/15/86"
"Uwe","Callaway","5/9/86"
"Suzette","Schlegelmilch","1/22/86"
"Henk","Peltason","5/30/86"
"Tzvetan","Picel","6/7/86"
"Cedric","Kalefeld","12/25/86"
"Sampalli","Ramaiah","9/24/86"
"Fabrizio","Marletta","3/27/86"
"Giri","Egerstedt","9/24/86"
"Greger","Anily","3/8/86"
"Sajjan","Dahlbom","6/30/86"
"Jixiang","Marwedel","11/12/86"
"Arnould","Kavvadias","1/3/86"
"Gianluca","Sevcikova","7/11/86"
"Alain","Gyorkos","4/30/86"
"Kayoko","Walston","6/13/86"
"Mohammad","Yoshimura","8/1/86"
"Takahiro","Milicia","10/13/86"
"Heon","Thorelli","8/2/86"
"Nectarios","Maliniak","1/16/86"
"Lobel","Barvinok","5/7/86"
"Nigel","Iacovou","11/28/86"
"Xumin","Conta","4/3/86"
"Jouni","Boreale","12/30/86"
"Mahmut","Peris","1/6/86"
"Ger","Cooke","11/6/86"
"Wilmer","Lamparter","10/28/86"
"Rimli","Ouhyoung","3/10/86"
"Samphel","Ghemri","11/24/86"
"Weiru","Swift","7/22/86"
"Munenori","Marrevee","2/28/86"
"Marin","Zirintsis","6/20/86"
"Goa","Osgood","2/8/86"
"Sastry","Hitomi","7/31/86"
"Indrajit","Peck","6/16/86"
"Khedija","Schaad","10/2/86"
"Boaz","Melichar","9/5/86"
"Aluzio","Georgakopoulos","3/25/86"
"Supot","Oaver","3/15/86"
"Hatem","Asser","2/28/86"
"Poornachandra","Sudbeck","8/13/86"
"Arnd","Yamaashi","10/14/86"
"Shim","Swick","8/19/86"
"Licheng","Zhang","8/16/86"
"Deborah","Rouquie","2/28/86"
"Mizuhito","Kossowski","1/8/86"
"Takahiro","Matzov","10/10/86"
"Kwangsub","Uhrig","1/19/86"
"Bedrich","Businaro","9/25/86"
"Taizo","Linares","4/4/86"
"Yucel","Rosch","1/5/86"
"Ortrud","Fabrizio","12/2/86"
"Denis","Shackel","6/2/86"
"Basem","Klerer","1/29/86"
"Mayumi","Gustavson","9/17/86"
"Stafford","Kornatzky","8/29/86"
"Cathie","Sessa","1/10/86"
"Souichi","Duclos","7/31/86"
"Byong","Benner","2/10/86"
"Constantino","Krogh","4/28/86"
"Lokesh","Jayawardene","4/26/86"
"Sibyl","Luef","8/20/86"
"Aluzio","Kakkad","5/31/86"
"Tuval","Ruemmler","8/30/86"
"Fun","Rajaraman","11/5/86"
"Hailing","Morrey","9/25/86"
"Marla","Seghrouchni","11/16/86"
"Ronnie","Lichtner","5/15/86"
"Arun","Giarratana","10/24/86"
"Sreekrishna","Duclos","3/1/86"
"Suzette","Schieder","3/17/86"
"Mototsugu","Edelhoff","3/5/86"
"Shakhar","Heuter","3/4/86"
"Jianhao","Peres","10/26/86"
"Doowon","Mukaidono","11/3/86"
"Kish","Ducloy","7/30/86"
"Ronnie","Chartres","1/23/86"
"Makato","Gide","1/14/86"
"Nobuyoshi","Kitsuregawa","5/8/86"
"Uriel","Barreiro","7/30/86"
"Moty","Henders","5/5/86"
