"dept_name","emp_no","last_name","first_name"
"Sales",271131,"Kitai","Toshiko"
"Sales",42734,"Imataki","Hatsukazu"
"Sales",42722,"Nitsche","Hatem"
"Sales",224970,"Kalsbeek","Danai"
"Sales",282374,"Lalonde","Sachin"
"Sales",225051,"Reeken","Radhakrishnan"
"Sales",271353,"Waterhouse","Gor"
"Sales",271367,"Cannard","Hiroyasu"
"Sales",42659,"Perna","Eirik"
"Sales",42642,"Broder","Bluma"
"Sales",271455,"Krogh","Sven"
"Sales",271480,"Cooley","Arumugam"
"Sales",460631,"Walstra","Yoshinari"
"Sales",271516,"Thorensen","Fei"
"Sales",271526,"Spieker","Lakshmi"
"Sales",42124,"Kopetz","Selwyn"
"Sales",42121,"Auria","Tran"
"Sales",42110,"Zeleznik","Jaewoo"
"Sales",225107,"Fadgyas","Changho"
"Sales",42098,"Radhakrishnan","Bodo"
"Sales",271550,"Menhardt","Mats"
"Sales",271569,"Shigei","Tsz"
"Sales",42089,"Perko","Abdelghani"
"Sales",271592,"Swiss","Mansur"
"Sales",271600,"Birge","Koichi"
"Sales",271679,"Ladret","Shaz"
"Sales",42062,"Fujisawa","Dinah"
"Sales",271701,"Poehlman","Shooichi"
"Sales",271709,"Warwick","Toshimo"
"Sales",271778,"Aingworth","Samphel"
"Sales",225167,"Parascandalo","Mohan"
"Sales",271815,"Huttel","Martins"
"Sales",271854,"Zschoche","Horward"
"Sales",271865,"Kalefeld","Kellie"
"Sales",271867,"Aloia","Chenye"
"Sales",42045,"Massonet","Eberhardt"
"Sales",271913,"Steinauer","Hyuckchul"
"Sales",271921,"Asmuth","Nakhoon"
"Sales",272029,"Pietracaprina","Martien"
"Sales",272067,"Luff","Barton"
"Sales",272073,"Belinskaya","Valeska"
"Sales",272094,"Mamelak","Uli"
"Sales",272109,"Famili","Kellyn"
"Sales",272122,"Kabayashi","Isaac"
"Sales",41278,"Rosti","Fun"
"Sales",272150,"Karnin","Mariusz"
"Sales",272159,"Nilsson","Siddarth"
"Sales",282416,"Deville","Elgin"
"Sales",272180,"Bain","Kiyomitsu"
"Sales",272226,"Kornatzky","Ymte"
"Sales",272422,"Carrere","Takushi"
"Sales",225232,"Meriste","Pohua"
"Sales",282418,"Esteva","DAIDA"
"Sales",272450,"Boguraev","Serif"
"Sales",272467,"Picaronny","Kwangyoen"
"Sales",272471,"Gerteisen","Wayne"
"Sales",272493,"Ratnaker","Kerryn"
"Sales",272500,"Carrere","Mani"
"Sales",41201,"Munch","Kazuhito"
"Sales",272790,"Schiettecatte","Surveyors"
"Sales",272804,"Brookman","Jianwen"
"Sales",272807,"Eickenmeyer","Georg"
"Sales",272810,"Himler","Roded"
"Sales",41199,"Ouhyoung","Brewster"
"Sales",282425,"Bonifati","Tua"
"Sales",225280,"Miara","Perry"
"Sales",272864,"Hellwagner","Jiong"
"Sales",282430,"DasSarma","Shay"
"Sales",272882,"Fargier","Marit"
"Sales",41180,"Hertweck","Ennio"
"Sales",272892,"Schieder","Renee"
"Sales",272947,"Basawa","Kirk"
"Sales",272968,"Murrill","Martien"
"Sales",272981,"Demos","Gritta"
"Sales",460395,"Rosar","Salvador"
"Sales",272998,"Polajnar","Masako"
"Sales",273045,"Isard","Gunilla"
"Sales",40880,"Nanard","Ung"
"Sales",225375,"Gips","Weiye"
"Sales",273385,"Angelopoulos","Arumugam"
"Sales",273583,"Frijda","Fayez"
"Sales",273617,"Nyanchama","Theron"
"Sales",273694,"Coombs","Monique"
"Sales",282448,"Brobst","Jianwen"
"Sales",440999,"Pepe","Baruch"
"Sales",273847,"Bale","Kwangjo"
"Sales",40844,"Rohrbach","Martine"
"Sales",273944,"Baez","Ger"
"Sales",273954,"Plavsic","Slavian"
"Sales",273978,"Chenoweth","Huican"
"Sales",273988,"Pagter","Yongmin"
"Sales",273993,"Fontet","Kirk"
"Sales",40714,"Covnot","Lijie"
"Sales",274048,"Snyers","Susanna"
"Sales",40698,"Wissmann","Shan"
"Sales",274088,"Cronan","Katsuo"
"Sales",274098,"Swab","Tze"
"Sales",274110,"Schapire","Mahendra"
"Sales",440997,"Schapiro","Manton"
"Sales",40641,"Papadias","Eishiro"
"Sales",274253,"Vrecion","Yagil"
"Sales",274271,"Ritcey","Prodip"
"Sales",274282,"Bernatsky","Saeko"
"Sales",274284,"Jording","Youssef"
"Sales",274320,"Emmart","Erez"
"Sales",225496,"Belinskaya","Zhenbing"
"Sales",274378,"Luce","Jiang"
"Sales",274397,"Wendorf","Rimli"
"Sales",274454,"Renear","Howell"
"Sales",40294,"Kushner","Ingemar"
"Sales",274509,"Rothe","Nadjib"
"Sales",274540,"Atchley","Berry"
"Sales",40111,"Swist","Yagil"
"Sales",274604,"Veccia","Dung"
"Sales",274623,"Swick","Khoa"
"Sales",274625,"Assaf","Fatemeh"
"Sales",225557,"Terlouw","Odoardo"
"Sales",274663,"Bruckman","Kazuhiro"
"Sales",274688,"Schwartzbauer","Xiaoheng"
"Sales",274693,"Danecki","Aloys"
"Sales",274694,"Shimshoni","Youssef"
"Sales",274708,"Sidhu","Gilbert"
"Sales",274710,"Lubachevsky","Arfst"
"Sales",274730,"Chandrasekhar","Uma"
"Sales",225571,"Serre","Xinyu"
"Sales",460385,"Liesche","Kasidit"
"Sales",274768,"Acton","Torsten"
"Sales",274797,"Siochi","Masaki"
"Sales",225612,"Ellozy","Manu"
"Sales",274829,"Bugaenko","Vidar"
"Sales",274843,"Oxenboll","Munir"
"Sales",274849,"Beilner","Sigeru"
"Sales",274883,"Granlund","Renee"
"Sales",225669,"Khalid","Lokesh"
"Sales",275022,"Yoshimura","Lansing"
"Sales",275091,"Pouyioutas","Saeko"
"Sales",39991,"Griswold","Tristan"
"Sales",275202,"Pramanik","Ramachenga"
"Sales",275414,"Peron","Almudena"
"Sales",39779,"Zambonelli","Baziley"
"Sales",275484,"Thiran","Brewster"
"Sales",275502,"Muntz","Hailing"
"Sales",440961,"Snyers","Jouko"
"Sales",39774,"Giarratana","Shimshon"
"Sales",225716,"Zaccaria","Sadun"
"Sales",275556,"Grandbois","Jiakeng"
"Sales",275558,"Muhling","Vishu"
"Sales",460313,"Uludag","Christ"
"Sales",275576,"Hegner","Xiping"
"Sales",225730,"Kushnir","Arumugam"
"Sales",225738,"Vitiello","Mircea"
"Sales",225748,"Fendler","Bader"
"Sales",275634,"Beerel","Zhiwei"
"Sales",282530,"Radhakrishnan","Heping"
"Sales",275684,"McConalogue","Haldon"
"Sales",39751,"Joslin","Kristof"
"Sales",39733,"Perz","Nigel"
"Sales",282538,"Raney","Arch"
"Sales",275982,"Egerstedt","Arnould"
"Sales",276012,"Stanfel","Vasilis"
"Sales",225790,"Sambasivam","Saeed"
"Sales",39722,"Rosenbaum","Stella"
"Sales",39684,"Dratva","Kokou"
"Sales",276322,"Narahari","Quingbo"
"Sales",276329,"Condotta","Olivera"
"Sales",276331,"Pillow","Katsuyuki"
"Sales",276342,"Swiler","Gritta"
"Sales",276349,"Vigier","Susanna"
"Sales",276375,"DuBourdieux","Arnould"
"Sales",225838,"Matzov","Alselm"
"Sales",440949,"Budinsky","Tetsurou"
"Sales",276471,"Makrucki","Prodip"
"Sales",276473,"Shackell","Naftaly"
"Sales",276509,"Bala","Weicheng"
"Sales",276515,"Granlund","Hercules"
"Sales",276534,"Impagliazzo","Weiye"
"Sales",276561,"Gulik","Rance"
"Sales",276576,"McClurg","Guadalupe"
"Sales",276578,"Luff","Sibyl"
"Sales",39370,"Morrow","Seongbin"
"Sales",276596,"Gihr","Piyawadee"
"Sales",276649,"Sethi","Narain"
"Sales",226026,"Rosca","Subbu"
"Sales",226050,"Radivojevic","Torsten"
"Sales",276750,"Cummings","Shigehito"
"Sales",39291,"Kobuchi","Pranay"
"Sales",276825,"Pell","Sibyl"
"Sales",39097,"Luca","Toshimitsu"
"Sales",276882,"Ratzlaff","Deniz"
"Sales",226085,"Portugali","Kinh"
"Sales",277130,"Passino","Bojan"
"Sales",277198,"Zielinski","Sukumar"
"Sales",277209,"Levergood","Fox"
"Sales",277219,"Naumovich","Kenroku"
"Sales",277228,"Hofman","Udaiprakash"
"Sales",277236,"Busillo","Shrikanth"
"Sales",282574,"Guenter","Alain"
"Sales",277265,"Kriebel","Susanta"
"Sales",277291,"Kitsuregawa","Masako"
"Sales",277317,"Conte","Hyuckchul"
"Sales",277327,"Bressoud","Tzu"
"Sales",226131,"Collavizza","DeForest"
"Sales",277404,"Dechter","Goo"
"Sales",226151,"Basart","Evgueni"
"Sales",226157,"Budinsky","Noritoshi"
"Sales",277512,"Akiyama","Mana"
"Sales",226169,"Hertweck","Aiichiro"
"Sales",460186,"Papastamatiou","Zhanqiu"
"Sales",277588,"Guerreiro","Kensei"
"Sales",277614,"Benzmuller","Doowon"
"Sales",38985,"Braunschweig","Kellie"
"Sales",226191,"Jakobus","Toong"
"Sales",226244,"Deyuan","Venkatesan"
"Sales",277760,"Billawala","Filipe"
"Sales",277769,"Peng","Clyde"
"Sales",277795,"Wossner","Oksana"
"Sales",38763,"Angelov","Froduald"
"Sales",277890,"Ferretti","Fatemeh"
"Sales",277913,"Bernardinello","Oksana"
"Sales",277924,"Eugenio","Lihong"
"Sales",277926,"Solovay","Shaunak"
"Sales",38739,"VanScheik","Bedrich"
"Sales",277946,"Anandan","Gonzalo"
"Sales",277976,"Menhoudj","Divine"
"Sales",277987,"Schreiter","Weiyi"
"Sales",277992,"Schiper","Munenori"
"Sales",277994,"Kandlur","Hyuckchul"
"Sales",38708,"Radhakrishnan","Petter"
"Sales",278163,"Pagter","Fabrizio"
"Sales",278202,"Kilgour","Hirochika"
"Sales",226326,"Murthy","Premal"
"Sales",278295,"Teitelbaum","Tse"
"Sales",226360,"Kambil","Ymte"
"Sales",278345,"Schwaller","Marko"
"Sales",38641,"Rosaz","Zeljko"
"Sales",278427,"Bridgland","Mihalis"
"Sales",282594,"Stellhorn","Kankanahalli"
"Sales",278475,"Masand","Jixiang"
"Sales",278486,"Maraist","Aiichiro"
"Sales",226407,"Levasseur","Jianhui"
"Sales",226411,"Farris","Toshiko"
"Sales",38595,"Hempstead","Adel"
"Sales",278556,"Mitina","Zejun"
"Sales",278559,"Jarecki","Make"
"Sales",278564,"Flasterstein","Raimond"
"Sales",278577,"DiGiano","Morris"
"Sales",278588,"Comyn","Radhakrishnan"
"Sales",278611,"Matzat","Dung"
"Sales",38594,"Greenaway","Ult"
"Sales",278666,"Weiland","Honglan"
"Sales",278673,"Verspoor","Shuky"
"Sales",226486,"Rotem","Hinrich"
"Sales",278758,"Litecky","Radhika"
"Sales",226492,"Demian","Aiichiro"
"Sales",38583,"Orlowska","Xuedong"
"Sales",278874,"Walstra","Gudjon"
"Sales",278880,"Coorg","Xiaoqiu"
"Sales",278898,"Woycyznski","Ziva"
"Sales",278905,"Collette","Kirk"
"Sales",278967,"Candan","Arch"
"Sales",38568,"Piazza","Ayakannu"
"Sales",279011,"Segond","Amstein"
"Sales",279090,"Schrooten","Valter"
"Sales",279118,"Ramamoorthy","Remko"
"Sales",279121,"Keustermans","Narain"
"Sales",279140,"Esposito","Sahrah"
"Sales",279174,"Vitiello","Kirk"
"Sales",279178,"Koblitz","Mohd"
"Sales",279188,"Uludag","Tooru"
"Sales",279206,"Marrevee","Venkatesan"
"Sales",226623,"Wendorf","Sedat"
"Sales",279226,"Gopalakrishnan","Isaac"
"Sales",226629,"Itzfeldt","Nakhoon"
"Sales",38523,"Angiulli","Karoline"
"Sales",38499,"Klassen","Utpal"
"Sales",279279,"Azevdeo","Aron"
"Sales",279297,"Wendorf","Yuuichi"
"Sales",38488,"Merro","Guther"
"Sales",279323,"Gulik","Junsik"
"Sales",279393,"Montresor","Jixiang"
"Sales",279397,"Karcich","Elvis"
"Sales",279417,"Bamford","Zorica"
"Sales",279441,"Takkinen","Sahrah"
"Sales",38252,"Benzaken","Tadahiro"
"Sales",282663,"Jahnichen","Sreenivas"
"Sales",38232,"Ginesta","Garnik"
"Sales",279481,"Kropp","Doohun"
"Sales",460127,"Delgrange","Shuji"
"Sales",279499,"Underwood","Guangming"
"Sales",279506,"Selvestrel","Shih"
"Sales",279530,"Uchoa","Tonia"
"Sales",279540,"Aamodt","Luisa"
"Sales",279543,"Hagimont","Zhongwei"
"Sales",38215,"Bisiani","Zvonko"
"Sales",279644,"Gurbaxani","Yannis"
"Sales",279697,"Rajcani","Shahar"
"Sales",282672,"Babb","Kiam"
"Sales",279732,"Imataki","Sedat"
"Sales",226789,"Schmittgen","Khatoun"
"Sales",279746,"Baca","Yolla"
"Sales",226815,"Demke","Lena"
"Sales",38123,"Cummings","Kien"
"Sales",279848,"Spell","Divier"
"Sales",279851,"Hellwagner","Weicheng"
"Sales",279882,"Erez","Souichi"
"Sales",279942,"Valiente","Shih"
"Sales",37843,"Sudbeck","Shirish"
"Sales",279978,"Champarnaud","Ingemar"
"Sales",279986,"Cannard","Stella"
"Sales",226875,"Heydon","Aiman"
"Sales",280028,"Fetvedt","Freyja"
"Sales",37821,"Petereit","Vishwani"
"Sales",37586,"Jiang","Richard"
"Sales",280107,"Bael","Bader"
"Sales",37579,"Yemenis","Berthier"
"Sales",37574,"Falster","Dulce"
"Sales",289211,"Chinal","Conal"
"Sales",283965,"Lung","Alain"
"Sales",283973,"Berendt","Hongzue"
"Sales",283977,"Cappello","Erzsebet"
"Sales",283990,"Penz","Sibyl"
"Sales",284007,"Compeau","Seshu"
"Sales",284035,"Linnainmaa","Bartek"
"Sales",284036,"Rajcani","Gaetan"
"Sales",284044,"Puppe","Ibibia"
"Sales",284086,"Christianini","Marlo"
"Sales",287639,"Bage","Gro"
"Sales",287652,"Parhami","Kousuke"
"Sales",226975,"Khalil","Weicheng"
"Sales",226988,"Riefers","Kazuyasu"
"Sales",37559,"Dusink","Hausi"
"Sales",288819,"Lagarias","Ortrud"
"Sales",288837,"Rosch","Douadi"
"Sales",37558,"Thambidurai","Juichirou"
"Sales",288910,"Gniady","Kwan"
"Sales",288936,"Dulin","Susumu"
"Sales",282763,"Goodrum","Tianruo"
"Sales",227093,"Figueira","Beshir"
"Sales",288966,"Liedekerke","Honesty"
"Sales",227101,"Zeilberger","Piyawadee"
"Sales",37529,"Jording","Conrado"
"Sales",289051,"Bade","Mona"
"Sales",289063,"Alblas","Deniz"
"Sales",289068,"Rousseau","Arvind"
"Sales",289076,"Schueller","Manu"
"Sales",227133,"Michaels","Anyuan"
"Sales",289107,"Luef","Holgard"
"Sales",227148,"Georg","Duangkaew"
"Sales",289301,"Atchley","Danae"
"Sales",37477,"Babu","Byong"
"Sales",227162,"Gruenwald","Zeljko"
"Sales",289356,"Kobuchi","Yuqun"
"Sales",440931,"Dratva","Yinghua"
"Sales",37271,"Raoux","Falguni"
"Sales",289548,"Sifakis","Godehard"
"Sales",227220,"Gist","Amabile"
"Sales",289590,"Talmor","Shen"
"Sales",289591,"Felcyn","Kersti"
"Sales",289602,"Henseler","Ayakannu"
"Sales",289642,"Maquelin","Elzbieta"
"Sales",37236,"Luby","Ranan"
"Sales",37231,"Leonhardt","Vidya"
"Sales",289665,"Luga","Nahum"
"Sales",289676,"Ballarin","Vasiliy"
"Sales",289685,"Vanwelkenhuysen","Danae"
"Sales",37229,"Kawashima","Jiakeng"
"Sales",436438,"Gecseg","Stevo"
"Sales",37228,"Glinert","Mary"
"Sales",37195,"Spell","Akeel"
"Sales",289769,"Sichman","Genevieve"
"Sales",227320,"Munke","Yolla"
"Sales",282788,"Siprelle","Insup"
"Sales",289818,"Boguraev","Ashish"
"Sales",37194,"Beutelspacher","Zita"
"Sales",289842,"Kakkad","Percy"
"Sales",289862,"Deverell","Marin"
"Sales",289909,"Vecchio","Hilari"
"Sales",282791,"Erman","IEEE"
"Sales",290035,"Lieberherr","Zine"
"Sales",282810,"Merks","Zeljko"
"Sales",227401,"Madeira","Shigenori"
"Sales",290128,"Naumovich","Lenore"
"Sales",227412,"Vernadat","Shaowen"
"Sales",37109,"Varman","Pranjal"
"Sales",282812,"Demri","Eric"
"Sales",290238,"Bharadwaj","Zhensheng"
"Sales",290249,"Uehara","Pintsang"
"Sales",36904,"Usdin","Hailing"
"Sales",227459,"Schmiedel","Younwoo"
"Sales",290270,"Scallan","Zhaofang"
"Sales",290288,"Dulli","Cristinel"
"Sales",290579,"Weisert","Sverrir"
"Sales",290589,"Chleq","Jouni"
"Sales",290591,"Kobara","Dante"
"Sales",290620,"Hebert","Mayuko"
"Sales",290634,"Serre","Bernd"
"Sales",290806,"Kroft","Dung"
"Sales",290816,"Cochrane","Sachem"
"Sales",290875,"Cyne","Masako"
"Sales",290946,"Reutenauer","Abdelghani"
"Sales",290976,"Fargier","Supot"
"Sales",36874,"Aloia","Genki"
"Sales",36857,"Hennebert","Reinhold"
"Sales",291027,"Shanbhogue","Ipke"
"Sales",36849,"Cronau","Xiaopeng"
"Sales",36835,"Swick","Sarita"
"Sales",291140,"Bernardeschi","Abdulah"
"Sales",36827,"Stamatiou","Beshir"
"Sales",291319,"Frijda","Doowon"
"Sales",291359,"Swiler","Sreekrishna"
"Sales",228279,"Babu","Elgin"
"Sales",291366,"Reinhart","Kazuhira"
"Sales",291368,"Rodier","Gita"
"Sales",291378,"Erman","Munehiro"
"Sales",291380,"Miara","Mohammed"
"Sales",291385,"Anandan","Khun"
"Sales",228288,"Matzov","Junichi"
"Sales",291410,"Itschner","Kristof"
"Sales",228290,"Rousseau","Rasikan"
"Sales",291485,"Puppe","Akeno"
"Sales",228352,"Tasistro","Kien"
"Sales",291512,"Schlegelmilch","Chandrasekaran"
"Sales",291515,"Clouatre","Arne"
"Sales",291534,"Paciorek","Akhilish"
"Sales",291727,"Talmor","Yinghua"
"Sales",291776,"Itzfeldt","Tsutomu"
"Sales",291792,"Spieker","Takahira"
"Sales",228603,"Ladret","Constantino"
"Sales",291834,"Slutz","Miomir"
"Sales",291902,"Gerlach","Khaled"
"Sales",291939,"Conte","Dayanand"
"Sales",291960,"Heuser","Kenton"
"Sales",291992,"Domenig","Sangeeta"
"Sales",292043,"Jayawardene","Zhiwei"
"Sales",292106,"Shimshoni","Danil"
"Sales",282864,"Monarch","Baziley"
"Sales",292118,"Rodier","Ipke"
"Sales",459249,"Brookman","Tru"
"Sales",292317,"Moffat","Lijia"
"Sales",228685,"Zolotykh","Peer"
"Sales",292366,"Worfolk","Uinam"
"Sales",292396,"Czaja","Heejo"
"Sales",282868,"Cesareni","Lubomir"
"Sales",36613,"Servi","Leandro"
"Sales",292657,"Wossner","Udaiprakash"
"Sales",292662,"Juneja","Weiru"
"Sales",292675,"Ranze","Munehiko"
"Sales",292684,"Ecklund","Marc"
"Sales",36598,"Ducloy","Pranjal"
"Sales",292701,"Cichocki","Taizo"
"Sales",228913,"Bodoff","Zeljko"
"Sales",292766,"Veeraraghavan","Dines"
"Sales",36550,"Schwaller","Kensyu"
"Sales",292827,"Socorro","Unal"
"Sales",292838,"Servi","Jaewoo"
"Sales",440915,"Schreiter","Maia"
"Sales",36533,"Adachi","Arnould"
"Sales",292906,"Bale","Remmert"
"Sales",292911,"Diderrich","Thodoros"
"Sales",292918,"Zirintsis","Tristan"
"Sales",36526,"Hiroyama","Lene"
"Sales",292956,"Munch","Rutger"
"Sales",292976,"Passino","Pranay"
"Sales",293188,"Morrey","Waiman"
"Sales",293216,"Bridgland","Martial"
"Sales",36471,"Tokunaga","Jessie"
"Sales",293291,"Eugenio","Lidong"
"Sales",293303,"Ullian","Isamu"
"Sales",293310,"Nyanchama","Chandrasekaran"
"Sales",293312,"Pehl","Zito"
"Sales",36434,"Bolsens","Uinam"
"Sales",36430,"Ashish","Karlis"
"Sales",293565,"Swan","Jagoda"
"Sales",293607,"Randi","Masaru"
"Sales",36375,"Cunliffe","Moty"
"Sales",293653,"Ulupinar","Remzi"
"Sales",36372,"Conta","Ronghao"
"Sales",229710,"Engelmann","Heekeun"
"Sales",294011,"Solares","Guiseppe"
"Sales",294012,"Verhaegen","Mayumi"
"Sales",294015,"Auyong","Gen"
"Sales",459169,"Penz","Adel"
"Sales",36356,"Alblas","Susumu"
"Sales",294080,"Iwayama","Chenxi"
"Sales",294089,"Fabrizio","Susuma"
"Sales",294119,"Albarhamtoshy","Oldrich"
"Sales",294123,"Rattan","Goo"
"Sales",36345,"Bouloucos","Aimee"
"Sales",294142,"Kobuchi","Vojin"
"Sales",289227,"Vernadat","Amalendu"
"Sales",294418,"Tomescu","Filipp"
"Sales",229854,"Lamba","Hongzue"
"Sales",294531,"Nittel","Hideo"
"Sales",294542,"Birta","Manton"
"Sales",294569,"Silva","Huan"
"Sales",294657,"Selenyi","Vugranam"
"Sales",36301,"Wendorf","Takanari"
"Sales",36300,"Cyre","Magy"
"Sales",294729,"Chiola","Youjian"
"Sales",294731,"Zastre","Odysseas"
"Sales",294770,"Plavsic","Kwee"
"Sales",459162,"Pews","Ziva"
"Sales",459158,"Anger","Naftali"
"Sales",294843,"Pehl","Conor"
"Sales",36213,"Nitto","Vidar"
"Sales",294876,"Parveen","Shim"
"Sales",229917,"Morrey","Saeko"
"Sales",294898,"Ratnakar","Shmuel"
"Sales",229921,"Templeman","Bernt"
"Sales",36186,"Kavraki","Kazunori"
"Sales",295057,"Olano","Itzchak"
"Sales",295064,"Hertweck","Sadun"
"Sales",36175,"Auyong","Jiong"
"Sales",295074,"Yeung","Bojan"
"Sales",295103,"Validov","Xiaoqiang"
"Sales",36155,"Pepe","Nathalie"
"Sales",295290,"Sadowski","Berto"
"Sales",295351,"Barinka","Niranjan"
"Sales",230025,"Schauser","Stafford"
"Sales",295386,"Speek","Eldridge"
"Sales",295390,"Fendler","Toshimo"
"Sales",295420,"Kornatzky","Lorien"
"Sales",295434,"Kaiserswerth","Kasturi"
"Sales",295445,"Sudbeck","Phillip"
"Sales",36056,"Schaar","Mingsen"
"Sales",230283,"Axelband","Divine"
"Sales",230293,"Luke","Roddy"
"Sales",295590,"Hutter","Reuven"
"Sales",295592,"Lindqvist","Honesty"
"Sales",295637,"Huttel","Kersti"
"Sales",295648,"Perko","Aluzio"
"Sales",36030,"Kleiser","Berni"
"Sales",295723,"Jullig","Prasadram"
"Sales",295745,"DuCasse","Genta"
"Sales",295764,"Kalafatis","Serap"
"Sales",283015,"Cummings","Lucian"
"Sales",35987,"Bala","Wuxu"
"Sales",230393,"Benner","Mohua"
